,unique.cellid,cellosaurus.name,Cellosaurus.Accession.id,PharmacoDB.id,cello_NCItd_1,cello_diseaseType,cello_NCItd_2,cello_diseaseType_2,cello_NCItd_3,cello_diseaseType_3,onco_name,onco_mainType,onco_tissue
872,M980513,M980513,CVCL_S675,M980513_880_2019,C3224,Melanoma,NA,NA,NA,NA,Melanoma,Melanoma,Skin
873,MA-CLS-2,MA-CLS-2,CVCL_4571,MACLS2_881_2019,C4017,Ductal breast carcinoma,NA,NA,NA,NA,Breast Ductal Carcinoma In Situ (DCIS),Breast Cancer,Breast
874,Malme-3M,Malme-3M,CVCL_1438,Malme3M_882_2019,C3224,Melanoma,NA,NA,NA,NA,Melanoma,Melanoma,Skin
875,MC-1010,MC-1010,CVCL_1396,MC1010_884_2019,C9154,Adult acute myeloid leukemia,NA,NA,NA,NA,Acute Myeloid Leukemia (AML),Acute Myeloid Leukemia,Myeloid
876,MC/CAR,NA,CVCL_1397,MCCAR_885_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
877,MC116,MC116,CVCL_1399,MC116_887_2019,C3457,B-cell non-Hodgkin lymphoma,NA,NA,NA,NA,Mature B-Cell Neoplasms,Mature B-Cell Neoplasms,Lymphoid
878,MCAS,MCAS,CVCL_3020,MCAS_888_2019,C4026,Ovarian mucinous cystadenocarcinoma,NA,NA,NA,NA,Mucinous Ovarian Cancer,Ovarian Cancer,Ovary/Fallopian Tube
879,MCC13,MCC13,CVCL_2583,MCC13_889_2019,C9231,Merkel cell carcinoma,NA,NA,NA,NA,Merkel Cell Carcinoma,"Skin Cancer, Non-Melanoma",Skin
880,MCC26,MCC26,CVCL_2585,MCC26_890_2019,C9231,Merkel cell carcinoma,NA,NA,NA,NA,Merkel Cell Carcinoma,"Skin Cancer, Non-Melanoma",Skin
881,MCF-10A,NA,CVCL_0598,MCF10A_891_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
882,MCF-10F,NA,CVCL_3633,MCF10F_893_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
883,MCF-12A,NA,CVCL_3744,MCF12A_894_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
884,MCF-7,MCF-7,CVCL_0031,MCF7_895_2019,C4194,"Invasive ductal carcinoma, not otherwise specified",NA,NA,NA,NA,Breast Invasive Ductal Carcinoma,Breast Cancer,Breast
885,MCF-7/LY2,MCF-7/LY2,CVCL_9579,LY2_874_2019,C4194,"Invasive ductal carcinoma, not otherwise specified",NA,NA,NA,NA,Breast Invasive Ductal Carcinoma,Breast Cancer,Breast
886,MCF10DCIS.com,NA,CVCL_5552,MCF10DCIS.com_892_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
887,MDA-MB-134-VI,MDA-MB-134-VI,CVCL_0617,MDAMB134VI_897_2019,C7950,Invasive lobular breast carcinoma,NA,NA,NA,NA,Breast Invasive Lobular Carcinoma,Breast Cancer,Breast
888,MDA-MB-157,MDA-MB-157,CVCL_0618,MDAMB157_898_2019,C4872,Breast carcinoma,NA,NA,NA,NA,Breast,"Breast Cancer, NOS",Breast
889,MDA-MB-175-VII,MDA-MB-175-VII,CVCL_1400,MDAMB175VII_899_2019,C4194,"Invasive ductal carcinoma, not otherwise specified",NA,NA,NA,NA,Breast Invasive Ductal Carcinoma,Breast Cancer,Breast
890,MDA-MB-231,MDA-MB-231,CVCL_0062,MDAMB231_900_2019,C5214,Breast adenocarcinoma,NA,NA,NA,NA,Invasive Breast Carcinoma (BRCA),Breast Cancer,Breast
891,MDA-MB-330,MDA-MB-330,CVCL_0619,MDAMB330_901_2019,C4872,Breast carcinoma,NA,NA,NA,NA,Breast,"Breast Cancer, NOS",Breast
892,MDA-MB-361,MDA-MB-361,CVCL_0620,MDAMB361_902_2019,C5214,Breast adenocarcinoma,NA,NA,NA,NA,Invasive Breast Carcinoma (BRCA),Breast Cancer,Breast
893,MDA-MB-415,MDA-MB-415,CVCL_0621,MDAMB415_903_2019,C5214,Breast adenocarcinoma,NA,NA,NA,NA,Invasive Breast Carcinoma (BRCA),Breast Cancer,Breast
894,MDA-MB-435,MDA-MB-435,CVCL_0417,MDAMB435_904_2019,C3802,Amelanotic melanoma,NA,NA,NA,NA,Melanoma (MEL),Melanoma,Skin
895,MDA-MB-436,MDA-MB-436,CVCL_0623,MDAMB436_905_2019,C4194,"Invasive ductal carcinoma, not otherwise specified",NA,NA,NA,NA,Breast Invasive Ductal Carcinoma,Breast Cancer,Breast
896,MDA-MB-453,MDA-MB-453,CVCL_0418,MDAMB453_906_2019,C5214,Breast adenocarcinoma,NA,NA,NA,NA,Invasive Breast Carcinoma (BRCA),Breast Cancer,Breast
897,MDA-MB-468,MDA-MB-468,CVCL_0419,MDAMB468_907_2019,C5214,Breast adenocarcinoma,NA,NA,NA,NA,Invasive Breast Carcinoma (BRCA),Breast Cancer,Breast
898,MDA-PCa-2b,MDA-PCa-2b,CVCL_4748,MDAPCa2b_896_2019,C4863,Prostate carcinoma,NA,NA,NA,NA,Prostate,"Prostate Cancer, NOS",Prostate
899,MDST8,MDST8,CVCL_2588,MDST8_908_2019,C4910,Colon carcinoma,NA,NA,NA,NA,Bowel,"Bowel Cancer, NOS",Bowel
900,ME-1 [Human leukemia],ME-1 [Human leukemia],CVCL_2110,ME1_909_2019,C9154,Adult acute myeloid leukemia,NA,NA,NA,NA,Acute Myeloid Leukemia (AML),Acute Myeloid Leukemia,Myeloid
901,ME-180,ME-180,CVCL_1401,ME180_910_2019,C27676,Human papillomavirus-related cervical squamous cell carcinoma,NA,NA,NA,NA,Cervical Squamous Cell Carcinoma (CESC),Cervical Cancer,Cervix
902,MDA-N,MDA-N,CVCL_1910,NA,C3802,Amelanotic melanoma,NA,NA,NA,NA,Melanoma (MEL),Melanoma,Skin
903,MEC-1,MEC-1,CVCL_1870,MEC1_911_2019,C3163,Chronic lymphocytic leukemia,NA,NA,NA,NA,Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,Mature B-Cell Neoplasms,Lymphoid
904,MEC-2,MEC-2,CVCL_1871,MEC2_912_2019,C3163,Chronic lymphocytic leukemia,NA,NA,NA,NA,Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,Mature B-Cell Neoplasms,Lymphoid
905,MEG-01,MEG-01,CVCL_0425,MEG01_913_2019,C3174,"Chronic myelogenous leukemia, BCR-ABL1 positive",NA,NA,NA,NA,"Chronic Myeloid Leukemia, BCR-ABL1+ (CMLBCRABL1)",Myeloproliferative Neoplasms,Myeloid
906,Mel 928,Mel 928,CVCL_C694,928mel_33_2019,C3224,Melanoma,NA,NA,NA,NA,Melanoma,Melanoma,Skin
907,Mel Ho,Mel Ho,CVCL_1402,MELHO_914_2019,C3224,Melanoma,NA,NA,NA,NA,Melanoma,Melanoma,Skin
908,Mel JuSo,Mel JuSo,CVCL_1403,MELJUSO_915_2019,C3510,Cutaneous melanoma,NA,NA,NA,NA,Cutaneous Melanoma,Melanoma,Skin
909,Mel501A,Mel501A,CVCL_0V14,501A_18_2019,C3224,Melanoma,NA,NA,NA,NA,Melanoma,Melanoma,Skin
910,MES-SA,MES-SA,CVCL_1404,MESSA_916_2019,C6339,Uterine corpus sarcoma,NA,NA,NA,NA,Uterine Sarcoma/Mesenchymal,Uterine Sarcoma,Uterus
911,MET-2B,MET-2B,CVCL_VS57,MET2B_917_2019,C3224,Melanoma,NA,NA,NA,NA,Melanoma,Melanoma,Skin
912,MeWo,MeWo,CVCL_0445,Mewo_918_2019,C3510,Cutaneous melanoma,NA,NA,NA,NA,Cutaneous Melanoma,Melanoma,Skin
913,MFE-280,MFE-280,CVCL_1405,MFE280_919_2019,C7359,Endometrial adenocarcinoma,NA,NA,NA,NA,Endometrial Carcinoma (UCEC),Endometrial Cancer,Uterus
914,MFE-296,MFE-296,CVCL_1406,MFE296_920_2019,C7359,Endometrial adenocarcinoma,NA,NA,NA,NA,Endometrial Carcinoma (UCEC),Endometrial Cancer,Uterus
915,MFE-319,MFE-319,CVCL_2112,MFE319_921_2019,C114656,Endometrial adenosquamous carcinoma,NA,NA,NA,NA,Uterine Adenosquamous Carcinoma,Endometrial Cancer,Uterus
916,MFH-ino,MFH-ino,CVCL_1407,MFHino_922_2019,C4247,Undifferentiated pleomorphic sarcoma,NA,NA,NA,NA,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Soft Tissue Sarcoma,Soft Tissue
917,MFM-223,MFM-223,CVCL_1408,MFM223_923_2019,C4872,Breast carcinoma,NA,NA,NA,NA,Breast,"Breast Cancer, NOS",Breast
918,MG-63,MG-63,CVCL_0426,MG63_924_2019,C9145,Osteosarcoma,NA,NA,NA,NA,Osteosarcoma,Bone Cancer,Bone
919,MHH-CALL-2,MHH-CALL-2,CVCL_1409,MHHCALL2_925_2019,C9140,Childhood B acute lymphoblastic leukemia,NA,NA,NA,NA,B-Lymphoblastic Leukemia/Lymphoma (BLL),B-Lymphoblastic Leukemia/Lymphoma,Lymphoid
920,MHH-CALL-3,MHH-CALL-3,CVCL_0089,MHHCALL3_926_2019,C9140,Childhood B acute lymphoblastic leukemia,NA,NA,NA,NA,B-Lymphoblastic Leukemia/Lymphoma (BLL),B-Lymphoblastic Leukemia/Lymphoma,Lymphoid
921,MHH-CALL-4,MHH-CALL-4,CVCL_1410,MHHCALL4_927_2019,C9140,Childhood B acute lymphoblastic leukemia,NA,NA,NA,NA,B-Lymphoblastic Leukemia/Lymphoma (BLL),B-Lymphoblastic Leukemia/Lymphoma,Lymphoid
922,MHH-ES-1,MHH-ES-1,CVCL_1411,MHHES1_928_2019,C4817,Ewing sarcoma,NA,NA,NA,NA,Ewing Sarcoma,Bone Cancer,Bone
923,MHH-NB-11,MHH-NB-11,CVCL_1412,MHHNB11_929_2019,C3270,Neuroblastoma,NA,NA,NA,NA,Neuroblastoma,Peripheral Nervous System,Peripheral Nervous System
924,MHH-PREB-1,MHH-PREB-1,CVCL_1413,MHHPREB1_930_2019,C3457,B-cell non-Hodgkin lymphoma,NA,NA,NA,NA,Mature B-Cell Neoplasms,Mature B-Cell Neoplasms,Lymphoid
925,MIA PaCa-2,MIA PaCa-2,CVCL_0428,MIAPaCa2_931_2019,C9120,Pancreatic ductal adenocarcinoma,NA,NA,NA,NA,Pancreatic Adenocarcinoma (PAAD),Pancreatic Adenocarcinoma,Pancreas
926,Mino,Mino,CVCL_1872,Mino_932_2019,C4337,Mantle cell lymphoma,NA,NA,NA,NA,Mantle Cell Lymphoma,Mature B-Cell Neoplasms,Lymphoid
927,MJ,MJ,CVCL_1414,MJ_933_2019,C3467,Cutaneous T-cell non-Hodgkin lymphoma,NA,NA,NA,NA,Mature T and NK Neoplasms (MTNN),Mature T and NK Neoplasms,Lymphoid
928,MKL-1 subclone 2,MKL-1 subclone 2,CVCL_EQ71,MKL1subclone2_934_2019,C9231,Merkel cell carcinoma,NA,NA,NA,NA,Merkel Cell Carcinoma,"Skin Cancer, Non-Melanoma",Skin
929,MKL-2,MKL-2,CVCL_D027,MKL2_935_2019,C9231,Merkel cell carcinoma,NA,NA,NA,NA,Merkel Cell Carcinoma,"Skin Cancer, Non-Melanoma",Skin
930,MKN1,MKN1,CVCL_1415,MKN1_936_2019,C5474,Gastric adenosquamous carcinoma,NA,NA,NA,NA,Adenosquamous Carcinoma of the Stomach,Esophagogastric Cancer,Esophagus/Stomach
931,MKN28,MKN28,CVCL_1416,MKN28_937_2019,C5473,Gastric tubular adenocarcinoma,NA,NA,NA,NA,Tubular Stomach Adenocarcinoma,Esophagogastric Cancer,Esophagus/Stomach
932,MKN45,MKN45,CVCL_0434,MKN45_938_2019,C4004,Gastric adenocarcinoma,NA,NA,NA,NA,Stomach Adenocarcinoma,Esophagogastric Cancer,Esophagus/Stomach
933,MKN7,MKN7,CVCL_1417,MKN7_939_2019,C5473,Gastric tubular adenocarcinoma,NA,NA,NA,NA,Tubular Stomach Adenocarcinoma,Esophagogastric Cancer,Esophagus/Stomach
934,MKN74,MKN74,CVCL_2791,MKN74_940_2019,C5473,Gastric tubular adenocarcinoma,NA,NA,NA,NA,Tubular Stomach Adenocarcinoma,Esophagogastric Cancer,Esophagus/Stomach
935,ML-1 [Human thyroid carcinoma],ML-1 [Human thyroid carcinoma],CVCL_H525,ML1_941_2019,C8054,Thyroid gland follicular carcinoma,NA,NA,NA,NA,Follicular Thyroid Cancer,Thyroid Cancer,Thyroid
936,ML-2,ML-2,CVCL_1418,ML2_942_2019,C9154,Adult acute myeloid leukemia,C132105,Acute myeloid leukemia with t(6,11)(q27,"q23), KMT2A-MLLT4",Acute Myeloid Leukemia (AML),Acute Myeloid Leukemia,Myeloid
937,MLMA,MLMA,CVCL_1419,MLMA_943_2019,C7402,Hairy cell leukemia,NA,NA,NA,NA,Hairy Cell Leukemia,Mature B-Cell Neoplasms,Lymphoid
938,MM1.S,MM1.S,CVCL_8792,MM1S_944_2019,C3242,Plasma cell myeloma,NA,NA,NA,NA,Plasma Cell Myeloma,Mature B-Cell Neoplasms,Lymphoid
939,MMAc-SF,MMAc-SF,CVCL_1420,MMACSF_945_2019,C3224,Melanoma,NA,NA,NA,NA,Melanoma,Melanoma,Skin
940,MN-60,MN-60,CVCL_1421,MN60_946_2019,C2912,Burkitt lymphoma,NA,NA,NA,NA,Burkitt Lymphoma,Mature B-Cell Neoplasms,Lymphoid
941,Mo,Mo,CVCL_1439,MoT_947_2019,C7402,Hairy cell leukemia,NA,NA,NA,NA,Hairy Cell Leukemia,Mature B-Cell Neoplasms,Lymphoid
942,MOG-G-CCM,MOG-G-CCM,CVCL_2613,MOGGCCM_948_2019,C9477,Anaplastic astrocytoma,NA,NA,NA,NA,Anaplastic Astrocytoma,Glioma,CNS/Brain
943,MOG-G-UVW,MOG-G-UVW,CVCL_2614,MOGGUVW_949_2019,C9477,Anaplastic astrocytoma,NA,NA,NA,NA,Anaplastic Astrocytoma,Glioma,CNS/Brain
944,MOLM-13,MOLM-13,CVCL_2119,MOLM13_950_2019,C9154,Adult acute myeloid leukemia,NA,NA,NA,NA,Acute Myeloid Leukemia (AML),Acute Myeloid Leukemia,Myeloid
945,MOLM-16,MOLM-16,CVCL_2120,MOLM16_951_2019,C9154,Adult acute myeloid leukemia,NA,NA,NA,NA,Acute Myeloid Leukemia (AML),Acute Myeloid Leukemia,Myeloid
946,MOLM-6,MOLM-6,CVCL_2122,MOLM6_952_2019,C3174,"Chronic myelogenous leukemia, BCR-ABL1 positive",NA,NA,NA,NA,"Chronic Myeloid Leukemia, BCR-ABL1+ (CMLBCRABL1)",Myeloproliferative Neoplasms,Myeloid
947,MOLP-2,MOLP-2,CVCL_2123,MOLP2_953_2019,C3242,Plasma cell myeloma,NA,NA,NA,NA,Plasma Cell Myeloma,Mature B-Cell Neoplasms,Lymphoid
948,MOLP-8,MOLP-8,CVCL_2124,MOLP8_954_2019,C3242,Plasma cell myeloma,NA,NA,NA,NA,Plasma Cell Myeloma,Mature B-Cell Neoplasms,Lymphoid
949,MOLT-13,MOLT-13,CVCL_1422,MOLT13_955_2019,C7953,Childhood T acute lymphoblastic leukemia,NA,NA,NA,NA,Early T-Cell Precursor Lymphoblastic Leukemia (ETPLL),T-Lymphoblastic Leukemia/Lymphoma,Lymphoid
950,MOLT-16,MOLT-16,CVCL_1424,MOLT16_956_2019,C7953,Childhood T acute lymphoblastic leukemia,NA,NA,NA,NA,Early T-Cell Precursor Lymphoblastic Leukemia (ETPLL),T-Lymphoblastic Leukemia/Lymphoma,Lymphoid
951,MOLT-3,MOLT-3,CVCL_0624,MOLT3_957_2019,C9142,Adult T acute lymphoblastic leukemia,NA,NA,NA,NA,T-Lymphoblastic Leukemia/Lymphoma (TLL),T-Lymphoblastic Leukemia/Lymphoma,Lymphoid
952,MOLT-4,MOLT-4,CVCL_0013,MOLT4_958_2019,C9142,Adult T acute lymphoblastic leukemia,NA,NA,NA,NA,T-Lymphoblastic Leukemia/Lymphoma (TLL),T-Lymphoblastic Leukemia/Lymphoma,Lymphoid
953,Mono-Mac-1,Mono-Mac-1,CVCL_1425,MONOMAC1_959_2019,C8263,Adult acute monocytic leukemia,NA,NA,NA,NA,Acute Monoblastic/Monocytic Leukemia,Leukemia,Myeloid
954,Mono-Mac-6,Mono-Mac-6,CVCL_1426,MONOMAC6_960_2019,C8263,Adult acute monocytic leukemia,NA,NA,NA,NA,Acute Monoblastic/Monocytic Leukemia,Leukemia,Myeloid
955,MOR,MOR,CVCL_2618,MOR_961_2019,C3512,Lung adenocarcinoma,NA,NA,NA,NA,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
956,MOR/CPR,MOR/CPR,CVCL_2620,MOR/CPR_962_2019,C3512,Lung adenocarcinoma,NA,NA,NA,NA,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
957,MOTN-1,MOTN-1,CVCL_2127,MOTN1_963_2019,C4664,T-cell large granular lymphocyte leukemia,NA,NA,NA,NA,T-Cell Large Granular Lymphocytic Leukemia,Mature T and NK Neoplasms,Lymphoid
958,MPP 89,MPP 89,CVCL_1427,MPP89_964_2019,C45662,Pleural epithelioid mesothelioma,NA,NA,NA,NA,"Pleural Mesothelioma, Epithelioid Type (PLEMESO)",Mesothelioma,Pleura
959,MRK-nu-1,MRK-nu-1,CVCL_1428,MRKnu1_965_2019,C4872,Breast carcinoma,NA,NA,NA,NA,Breast,"Breast Cancer, NOS",Breast
960,MS-1 [Human lung carcinoma],MS-1 [Human lung carcinoma],CVCL_1429,MS1_966_2019,C4917,Small cell lung carcinoma,NA,NA,NA,NA,Small Cell Lung Cancer,Small Cell Lung Cancer,Lung
961,MS751,MS751,CVCL_4996,MS751_967_2019,C27676,Human papillomavirus-related cervical squamous cell carcinoma,NA,NA,NA,NA,Cervical Squamous Cell Carcinoma (CESC),Cervical Cancer,Cervix
962,MSTO-211H,MSTO-211H,CVCL_1430,MSTO211H_968_2019,C45665,Pleural biphasic mesothelioma,NA,NA,NA,NA,"Pleural Mesothelioma, Biphasic Type",Mesothelioma,Pleura
963,MT-3 [Human contaminated breast cancer],MT-3 [Human contaminated breast cancer],CVCL_2129,MT3_969_2019,C4349,Colon adenocarcinoma,NA,NA,NA,NA,Colon Adenocarcinoma,Colorectal Cancer,Bowel
964,MUTZ-1,MUTZ-1,NA,NA,C27694,Epstein-Barr virus-related Burkitt lymphoma,NA,NA,NA,NA,Non-Hodgkin Lymphoma (NHL),Non-Hodgkin Lymphoma,Lymphoid
965,MUTZ-3,MUTZ-3,CVCL_1433,MUTZ3_970_2019,C82426,Acute myeloid leukemia with inv(3) (q21.3,3) (q21.3,"q26.2) GATA2, MECOM",NA,NA,"AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM (AMLGATA2MECOM)",Leukemia,Lymphoid
966,MUTZ-5,MUTZ-5,CVCL_1873,MUTZ5_971_2019,C8644,B acute lymphoblastic leukemia,NA,NA,NA,NA,"B-Lymphoblastic Leukemia/Lymphoma, NOS (BLLNOS)",B-Lymphoblastic Leukemia/Lymphoma,Lymphoid
967,MV-522,MV-522,NA,NA,C4349,Colon adenocarcinoma,NA,NA,NA,NA,Colon Adenocarcinoma,Colorectal Cancer,Bowel
968,MV4-11,MV4-11,CVCL_0064,MV411_972_2019,C9163,Childhood acute monocytic leukemia,NA,NA,NA,NA,Acute Monoblastic/Monocytic Leukemia,Leukemia,Myeloid
969,MX-1,MX-1,CVCL_4774,MX1_973_2019,C4872,Breast carcinoma,NA,NA,NA,NA,Breast,"Breast Cancer, NOS",Breast
970,MY-M12,MY-M12,CVCL_3035,MYM12_974_2019,C4673,Acute biphenotypic leukemia,NA,NA,NA,NA,NA,NA,NA
971,MZ-MEL-2,MZ-MEL-2,CVCL_1435,MZ2MEL_976_2019,C3224,Melanoma,NA,NA,NA,NA,Melanoma,Melanoma,Skin
972,MZ-MEL-7,MZ-MEL-7,CVCL_1436,MZ7mel_977_2019,C3224,Melanoma,NA,NA,NA,NA,Melanoma,Melanoma,Skin
973,MZ-PC-1,MZ-PC-1,CVCL_1434,MZ1PC_975_2019,C9120,Pancreatic ductal adenocarcinoma,NA,NA,NA,NA,Pancreatic Adenocarcinoma (PAAD),Pancreatic Adenocarcinoma,Pancreas
974,NALM-1,NALM-1,CVCL_0091,NALM1_978_2019,C7320,"Childhood chronic myelogenous leukemia, BCR-ABL1 positive",NA,NA,NA,NA,"Chronic Myeloid Leukemia, BCR-ABL1+ (CMLBCRABL1)",Myeloproliferative Neoplasms,Myeloid
975,NALM-19,NALM-19,CVCL_1835,NALM19_979_2019,C8644,B acute lymphoblastic leukemia,NA,NA,NA,NA,"B-Lymphoblastic Leukemia/Lymphoma, NOS (BLLNOS)",B-Lymphoblastic Leukemia/Lymphoma,Lymphoid
976,NALM-6,NALM-6,CVCL_0092,NALM6_980_2019,C9143,Adult B acute lymphoblastic leukemia,NA,NA,NA,NA,B-Lymphoblastic Leukemia/Lymphoma (BLL),B-Lymphoblastic Leukemia/Lymphoma,Lymphoid
977,Namalwa,Namalwa,CVCL_0067,NAMALWA_981_2019,C27694,Epstein-Barr virus-related Burkitt lymphoma,NA,NA,NA,NA,Non-Hodgkin Lymphoma (NHL),Non-Hodgkin Lymphoma,Lymphoid
978,NB(TU)1,NB(TU)1,CVCL_3041,NBTU110_982_2019,C3270,Neuroblastoma,NA,NA,NA,NA,Neuroblastoma,Peripheral Nervous System,Peripheral Nervous System
979,NB1,NB1,CVCL_1440,NB1_984_2019,C3270,Neuroblastoma,NA,NA,NA,NA,Neuroblastoma,Peripheral Nervous System,Peripheral Nervous System
980,NB16,NB16,NA,NA,C3270,Neuroblastoma,NA,NA,NA,NA,Neuroblastoma,Peripheral Nervous System,Peripheral Nervous System
981,NB4,NB4,CVCL_0005,NB4_990_2019,C3182,Acute promyelocytic leukemia with t(15,q12) PML-RARA,NA,NA,NA,Acute Myeloid Leukemia (AML),Acute Myeloid Leukemia,Myeloid
982,NB69,NB69,CVCL_1448,NB69_993_2019,C3270,Neuroblastoma,NA,NA,NA,NA,Neuroblastoma,Peripheral Nervous System,Peripheral Nervous System
983,NBsusSR,NBsusSR,CVCL_1450,NBsusSR_995_2019,C3270,Neuroblastoma,NA,NA,NA,NA,Neuroblastoma,Peripheral Nervous System,Peripheral Nervous System
984,NC-37,NC-37,NA,NA,C27694,Epstein-Barr virus-related Burkitt lymphoma,NA,NA,NA,NA,Non-Hodgkin Lymphoma (NHL),Non-Hodgkin Lymphoma,Lymphoid
985,NCC-IT,NCC-IT,CVCL_1451,NCCIT_999_2019,C6341,Testicular embryonal carcinoma,NA,NA,NA,NA,Embryonal Carcinoma,Germ Cell Tumor,Testis
986,NCC-IT-A3,NCC-IT-A3,NA,NA,C6341,Testicular embryonal carcinoma,NA,NA,NA,NA,Embryonal Carcinoma,Germ Cell Tumor,Testis
987,NCC-StC-K140,NCC-StC-K140,CVCL_3055,NCCStCK140_996_2019,C4911,Gastric carcinoma,NA,NA,NA,NA,Esophagus/Stomach,"Esophageal/Stomach Cancer, NOS",Esophagus/Stomach
988,NCC010,NCC010,CVCL_X505,NCC010_997_2019,C9385,Renal cell carcinoma,NA,NA,NA,NA,Renal Cell Carcinoma,Renal Cell Carcinoma,Kidney
989,NCC021,NCC021,CVCL_X506,NCC021_998_2019,C9385,Renal cell carcinoma,NA,NA,NA,NA,Renal Cell Carcinoma,Renal Cell Carcinoma,Kidney
990,NCE G-28T,NCE G-28T,CVCL_0V15,G28T_389_2019,C3796,Gliosarcoma,NA,NA,NA,NA,Gliosarcoma,Glioma,CNS/Brain
991,NCE-G 111,NCE-G 111,CVCL_N739,G111_377_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
992,NCE-G 112,NCE-G 112,CVCL_N740,G112_378_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
993,NCE-G 118,NCE-G 118,CVCL_N741,G118_379_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
994,NCE-G 120,NCE-G 120,CVCL_N742,G120_380_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
995,NCE-G 121,NCE-G 121,CVCL_N743,G121_381_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
996,NCE-G 122,NCE-G 122,CVCL_N744,G122_382_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
997,NCE-G 124,NCE-G 124,CVCL_N746,G124_383_2019,C9477,Anaplastic astrocytoma,NA,NA,NA,NA,Anaplastic Astrocytoma,Glioma,CNS/Brain
998,NCE-G 130,NCE-G 130,CVCL_N747,G130_384_2019,C9477,Anaplastic astrocytoma,NA,NA,NA,NA,Anaplastic Astrocytoma,Glioma,CNS/Brain
999,NCE-G 140,NCE-G 140,CVCL_N748,G140_385_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
1000,NCE-G 141,NCE-G 141,CVCL_N749,G141_386_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
1001,NCE-G 142,NCE-G 142,CVCL_N750,G142_387_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
1002,NCE-G 22,NCE-G 22,CVCL_N723,G22_388_2019,C9477,Anaplastic astrocytoma,NA,NA,NA,NA,Anaplastic Astrocytoma,Glioma,CNS/Brain
1003,NCE-G 44,NCE-G 44,CVCL_N727,G44_390_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
1004,NCE-G 59,NCE-G 59,CVCL_N729,G59_391_2019,C9477,Anaplastic astrocytoma,NA,NA,NA,NA,Anaplastic Astrocytoma,Glioma,CNS/Brain
1005,NCE-G 61,NCE-G 61,CVCL_N731,G61_392_2019,C9477,Anaplastic astrocytoma,NA,NA,NA,NA,Anaplastic Astrocytoma,Glioma,CNS/Brain
1006,NCE-G 84,NCE-G 84,CVCL_N735,G84_393_2019,C9477,Anaplastic astrocytoma,NA,NA,NA,NA,Anaplastic Astrocytoma,Glioma,CNS/Brain
1007,NCE-G 96,NCE-G 96,CVCL_N736,G96_394_2019,C9477,Anaplastic astrocytoma,NA,NA,NA,NA,Anaplastic Astrocytoma,Glioma,CNS/Brain
1008,NCI-ADR-RES,NCI-ADR-RES,NA,NA,C105555,High grade ovarian serous adenocarcinoma,NA,NA,NA,NA,High-Grade Serous Ovarian Cancer,Ovarian Cancer,Ovary/Fallopian Tube
1009,NCI-H1048,NCI-H1048,CVCL_1453,NCIH1048_1000_2019,C4917,Small cell lung carcinoma,NA,NA,NA,NA,Small Cell Lung Cancer,Small Cell Lung Cancer,Lung
1010,NCI-H1092,NCI-H1092,CVCL_1454,NCIH1092_1001_2019,C4917,Small cell lung carcinoma,NA,NA,NA,NA,Small Cell Lung Cancer,Small Cell Lung Cancer,Lung
1011,NCI-H1105,NCI-H1105,CVCL_1455,NCIH1105_1002_2019,C4917,Small cell lung carcinoma,NA,NA,NA,NA,Small Cell Lung Cancer,Small Cell Lung Cancer,Lung
1012,NCI-H1155,NCI-H1155,CVCL_1456,NCIH1155_1003_2019,C4450,Large cell lung carcinoma,NA,NA,NA,NA,Large Cell Lung Carcinoma,Non-Small Cell Lung Cancer,Lung
1013,NCI-H1184,NCI-H1184,CVCL_1458,NCIH1184_1004_2019,C4917,Small cell lung carcinoma,NA,NA,NA,NA,Small Cell Lung Cancer,Small Cell Lung Cancer,Lung
