,unique.cellid,CGP.cellid,CCLE.cellid,GSK.cellid,NCI60.cellid,GRAY.cellid,GNE.cellid,CTRP.cellid,CGP_EMTAB3610.cellid,GDSC_rnaseq.cellid,CCLE_exome.cellid,CCLE_rnaseq.cellid,GDSC.SNP.cellid,Ben_Neel.cellid,CTRPv2.cellid,gCSI.cellid,GDSC1000.cellid,CGP.tissueid,CCLE.tissueid,GSK.tissueid,NCI60.tissueid,GRAY.tissueid,GNE.tissueid,CTRP.tissueid,CGP_EMTAB3610.tissueid,CCLE_rnaseq.tissueid,GDSC.SNP.tissueid,Cescon.cellid,Ben_Neel.tissueid,COSMIC.tissueid,unique.tissueid,CTRPv2.tissueid,gCSI.tissueid,GDSC1000.tissueid,Cleveland.cellid,Cleveland.tissueid,FIMM.cellid,FIMM.tissueid,Cellosaurus.Accession.id,PharmacoDB.id,GDSC_Exome.cellid,unique.tissueid.fromstudies,Cellosaurus.Disease.Type,CellLine.Type,Metastatic,DepMap.cellid
927,Hs 688(A).T,NA,Hs 688(A).T,NA,NA,NA,NA,NA,NA,NA,Hs_688_A_.T,Hs_688_A_.T,NA,NA,HS688AT,NA,NA,NA,skin,NA,NA,NA,NA,NA,NA,skin,NA,NA,NA,NA,Skin,skin,NA,NA,NA,NA,NA,NA,CVCL_0846,Hs688(A).T_585_2019,NA,skin,Melanoma,Cancer cell line,NA,ACH-000306
928,Hs 698.T,NA,Hs 698.T,NA,NA,NA,NA,NA,NA,NA,Hs_698.T,Hs_698.T,NA,NA,NA,NA,NA,NA,large_intestine,NA,NA,NA,NA,NA,NA,large_intestine,NA,NA,NA,NA,Bowel,NA,NA,NA,NA,NA,NA,NA,CVCL_0855,Hs698.T_587_2019,NA,large_intestine,Colorectal carcinoma,Cancer cell line,TRUE,ACH-000850
929,Hs 706.T,NA,Hs 706.T,NA,NA,NA,NA,NA,NA,NA,Hs_706.T,Hs_706.T,NA,NA,NA,NA,NA,NA,bone,NA,NA,NA,NA,NA,NA,bone,NA,NA,NA,NA,Bone,NA,NA,NA,NA,NA,NA,NA,CVCL_0863,Hs706.T_589_2019,NA,bone,Malignant giant cell tumor of bone,Cancer cell line,NA,ACH-000071
930,Hs 729.T,NA,Hs 729,NA,NA,NA,NA,NA,NA,NA,Hs_729,Hs_729,NA,NA,HS729,NA,NA,NA,soft_tissue,NA,NA,NA,NA,NA,NA,soft_tissue,NA,NA,NA,NA,Soft Tissue,soft_tissue,NA,NA,HS729,soft_tissue,NA,NA,CVCL_0871,Hs729_590_2019,NA,soft_tissue,Embryonal rhabdomyosarcoma,Cancer cell line,NA,ACH-000133
931,Hs 737.T,NA,Hs 737.T,NA,NA,NA,NA,NA,NA,NA,Hs_737.T,Hs_737.T,NA,NA,NA,NA,NA,NA,bone,NA,NA,NA,NA,NA,NA,bone,NA,NA,NA,NA,Bone,NA,NA,NA,NA,NA,NA,NA,CVCL_0878,Hs737.T_591_2019,NA,bone,Malignant giant cell tumor of bone,Cancer cell line,NA,ACH-000185
932,Hs 739.T,NA,Hs 739.T,NA,NA,NA,NA,NA,NA,NA,Hs_739.T,Hs_739.T,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,Breast,NA,NA,NA,NA,NA,NA,NA,CVCL_0882,Hs739.T_592_2019,NA,breast,Breast carcinoma,Cancer cell line,NA,ACH-000413
933,Hs 742.T,NA,Hs 742.T,NA,NA,NA,NA,NA,NA,NA,Hs_742.T,Hs_742.T,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,Breast,NA,NA,NA,NA,NA,NA,NA,CVCL_0888,Hs742.T_593_2019,NA,breast,Breast carcinoma,Cancer cell line,NA,ACH-000230
934,Hs 746.T,NA,Hs 746T,HS746T,NA,NA,Hs 746T,NA,Hs746T,NA,Hs_746T,Hs_746T,Hs746T///Hs-746T,NA,HS746T,Hs 746T,Hs746T,NA,stomach,stomach,NA,NA,Stomach,NA,Stomach,stomach,NA,NA,NA,NA,Esophagus/Stomach,stomach,Stomach,stomach,HS746T,stomach,NA,NA,CVCL_0333,Hs746T_594_2019,Hs746T,stomach,Gastric adenocarcinoma,Cancer cell line,TRUE,ACH-000616
935,Hs 751.T,NA,Hs 751.T,NA,NA,NA,NA,NA,NA,NA,Hs_751.T,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lymphoid,NA,NA,NA,NA,NA,NA,NA,CVCL_0891,Hs751.T_595_2019,NA,haematopoietic_and_lymphoid_tissue,Hodgkin lymphoma,Cancer cell line,NA,ACH-000165
936,Hs 766T,NA,Hs 766T,NA,NA,NA,Hs 766T,NA,Hs-766T,NA,Hs_766T,Hs_766T,Hs766T///Hs-766T,NA,HS766T,Hs 766T,Hs766T,NA,pancreas,NA,NA,NA,Pancreas,NA,Pancreas,pancreas,NA,NA,NA,NA,Pancreas,pancreas,Pancreas,pancreas,HS766T,pancreas,NA,NA,CVCL_0334,Hs766T_596_2019,Hs766T,pancreas,Pancreatic adenocarcinoma,Cancer cell line,TRUE,ACH-000178
937,Hs 819.T,NA,Hs 819.T,NA,NA,NA,NA,NA,NA,NA,Hs_819.T,Hs_819.T,NA,NA,NA,NA,NA,NA,bone,NA,NA,NA,NA,NA,NA,bone,NA,NA,NA,NA,Bone,NA,NA,NA,HS819T,bone,NA,NA,CVCL_0928,Hs819.T_597_2019,NA,bone,Chondrosarcoma,Cancer cell line,NA,ACH-000224
938,Hs 821.T,NA,Hs 821.T,NA,NA,NA,NA,NA,NA,NA,Hs_821.T,Hs_821.T,NA,NA,NA,NA,NA,NA,bone,NA,NA,NA,NA,NA,NA,bone,NA,NA,NA,NA,Bone,NA,NA,NA,NA,NA,NA,NA,CVCL_0932,Hs821.T_598_2019,NA,bone,Malignant giant cell tumor of bone,Cancer cell line,NA,ACH-000526
939,Hs 822.T,NA,Hs 822.T,NA,NA,NA,NA,NA,NA,NA,Hs_822.T,Hs_822.T,NA,NA,HS822T,NA,NA,NA,bone,NA,NA,NA,NA,NA,NA,bone,NA,NA,NA,NA,Bone,bone,NA,NA,NA,NA,NA,NA,CVCL_0933,Hs822.T_599_2019,NA,bone,Ewing sarcoma,Cancer cell line,NA,ACH-000229
940,Hs 834.T,NA,Hs 834.T,NA,NA,NA,NA,NA,NA,NA,Hs_834.T,Hs_834.T,NA,NA,NA,NA,NA,NA,skin,NA,NA,NA,NA,NA,NA,skin,NA,NA,NA,NA,Skin,NA,NA,NA,NA,NA,NA,NA,CVCL_0938,Hs834.T_600_2019,NA,skin,Melanoma,Cancer cell line,TRUE,ACH-000275
941,Hs 839.T,NA,Hs 839.T,NA,NA,NA,Hs 839.T,NA,NA,NA,Hs_839.T,Hs_839.T,NA,NA,HS839T,Hs 839.T,NA,NA,skin,NA,NA,NA,Skin,NA,NA,skin,NA,NA,NA,NA,Skin,skin,NA,NA,HS839T,skin,NA,NA,CVCL_0941,Hs839.T_601_2019,NA,skin,Melanoma,Cancer cell line,NA,ACH-000180
942,Hs 840.T,NA,Hs 840.T,NA,NA,NA,NA,NA,NA,NA,Hs_840.T,Hs_840.T,NA,NA,NA,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,NA,Head and Neck,NA,NA,NA,NA,NA,NA,NA,CVCL_0942,Hs840.T_602_2019,NA,upper_aerodigestive_tract,Squamous papilloma,Cancer cell line,NA,ACH-000284
943,Hs 852.T,NA,Hs 852.T,NA,NA,NA,Hs 852.T,HS852T,NA,NA,Hs_852.T,Hs_852.T,NA,NA,HS852T,Hs 852.T,NA,NA,skin,NA,NA,NA,Skin,SKIN,NA,skin,NA,NA,NA,NA,Skin,skin,Skin,NA,NA,NA,NA,NA,CVCL_0950,Hs852.T_603_2019,NA,skin,Melanoma,Cancer cell line,NA,ACH-000274
944,Hs 863.T,NA,Hs 863.T,NA,NA,NA,NA,NA,NA,NA,Hs_863.T,Hs_863.T,NA,NA,NA,NA,NA,NA,bone,NA,NA,NA,NA,NA,NA,bone,NA,NA,NA,NA,Bone,NA,NA,NA,NA,NA,NA,NA,CVCL_0959,Hs863.T_604_2019,NA,bone,Ewing sarcoma,Cancer cell line,NA,ACH-000119
945,Hs 870.T,NA,Hs 870.T,NA,NA,NA,NA,NA,NA,NA,Hs_870.T,Hs_870.T,NA,NA,NA,NA,NA,NA,bone,NA,NA,NA,NA,NA,NA,bone,NA,NA,NA,NA,Bone,NA,NA,NA,NA,NA,NA,NA,CVCL_0966,Hs870.T_605_2019,NA,bone,Osteosarcoma,Cancer cell line,NA,ACH-000340
946,Hs 888.T,NA,Hs 888.T,NA,NA,NA,NA,NA,NA,NA,Hs_888.T,Hs_888.T,NA,NA,HS888T,NA,NA,NA,bone,NA,NA,NA,NA,NA,NA,bone,NA,NA,NA,NA,Bone,bone,NA,NA,HS888T,bone,NA,NA,CVCL_0979,Hs888.T_606_2019,NA,bone,Osteosarcoma,Cancer cell line,NA,ACH-000154
947,Hs 895.T,NA,Hs 895.T,NA,NA,NA,Hs 895.T,NA,NA,NA,Hs_895.T,Hs_895.T,NA,NA,HS895T,Hs 895.T,NA,NA,skin,NA,NA,NA,Skin,NA,NA,skin,NA,NA,NA,NA,Skin,skin,NA,NA,HS895T,skin,NA,NA,CVCL_0993,Hs895.T_607_2019,NA,skin,Melanoma,Cancer cell line,NA,ACH-000043
948,Hs 934.T,NA,Hs 934.T,NA,NA,NA,NA,NA,NA,NA,Hs_934.T,Hs_934.T,NA,NA,HS934T,NA,NA,NA,skin,NA,NA,NA,NA,NA,NA,skin,NA,NA,NA,NA,Skin,skin,NA,NA,HS934T,skin,NA,NA,CVCL_1031,Hs934.T_608_2019,NA,skin,Melanoma,Cancer cell line,NA,ACH-000194
949,Hs 936.T,NA,Hs 936.T,NA,NA,NA,Hs 936.T,HS936T,NA,NA,Hs_936.T,Hs_936.T,NA,NA,HS936T,Hs 936.T,NA,NA,skin,NA,NA,NA,Skin,SKIN,NA,skin,NA,NA,NA,NA,Skin,skin,NA,NA,NA,NA,NA,NA,CVCL_1033,Hs936.T_609_2019,NA,skin,Melanoma,Cancer cell line,NA,ACH-000801
950,Hs 939.T,NA,Hs 939.T,NA,NA,NA,NA,NA,NA,NA,Hs_939.T,Hs_939.T,Hs939-T///Hs-939-T,NA,NA,NA,Hs939-T,NA,skin,NA,NA,NA,NA,NA,NA,skin,NA,NA,NA,NA,Skin,NA,NA,skin,NA,NA,NA,NA,CVCL_1036,Hs939.T_610_2019,Hs939-T,skin,Melanoma,Cancer cell line,NA,ACH-000814
951,Hs 940.T,NA,Hs 940.T,NA,NA,NA,Hs 940.T,NA,Hs-940-T,NA,Hs_940.T,Hs_940.T,Hs940-T///Hs-940-T,NA,HS940T,Hs 940.T,Hs940-T,NA,skin,NA,NA,NA,Skin,NA,Skin,skin,NA,NA,NA,NA,Skin,skin,NA,skin,NA,NA,NA,NA,CVCL_1038,Hs940.T_611_2019,Hs940-T,skin,Cutaneous melanoma,Cancer cell line,NA,ACH-000135
952,Hs 944.T,NA,Hs 944.T,NA,NA,NA,NA,HS944T,Hs-944-T,NA,Hs_944.T,Hs_944.T,NA,NA,HS944T,NA,NA,NA,skin,NA,NA,NA,NA,SKIN,Skin,skin,NA,NA,NA,NA,Skin,skin,NA,skin,HS944T,skin,NA,NA,CVCL_1040,Hs944.T_612_2019,NA,skin,Cutaneous melanoma,Cancer cell line,NA,ACH-000632
953,HT115,NA,HT115,NA,NA,NA,HT-115,HT115,HT-115,HT-115,HT115,HT115,HT-115,NA,HT115,HT-115,HT-115,NA,large_intestine,NA,NA,NA,Colon,LARGE_INTESTINE,Intestine,large_intestine,NA,NA,NA,NA,Bowel,large_intestine,NA,large_intestine,HT115,large_intestine,NA,NA,CVCL_2520,HT115_626_2019,HT-115,large_intestine,Colon carcinoma,Cancer cell line,NA,ACH-000986
954,HTK-,NA,HTK-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bone,NA,NA,NA,NA,NA,NA,NA,CVCL_2522,HTK_634_2019,NA,haematopoietic_and_lymphoid_tissue,Osteosarcoma,Cancer cell line,NA,ACH-001094
955,HuG1-N,NA,HuG1-N,NA,NA,NA,NA,NA,NA,NA,HuG1-N,HuG1-N,NA,NA,HUG1N,NA,NA,NA,stomach,NA,NA,NA,NA,NA,NA,stomach,NA,NA,NA,NA,Esophagus/Stomach,stomach,NA,NA,NA,NA,NA,NA,CVCL_4846,HuG1N_636_2019,NA,stomach,Gastric tubular adenocarcinoma,Cancer cell line,TRUE,ACH-000239
956,HuH-1,NA,huH-1,NA,NA,NA,huH-1,NA,huH-1,NA,huH-1,huH-1,huH-1,NA,HUH1,huH-1,huH-1,NA,liver,NA,NA,NA,Liver,NA,Liver,liver,NA,NA,NA,NA,Liver,liver,Liver,liver,HUH1,liver,NA,NA,CVCL_2956,huH1_637_2019,huH-1,liver,Hepatocellular carcinoma,Cancer cell line,NA,ACH-000475
957,HuT 102,NA,HuT 102,NA,NA,NA,NA,NA,NA,NA,HuT_102,HuT_102,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,Lymphoid,NA,NA,NA,NA,NA,NA,NA,CVCL_3526,HuT102_646_2019,NA,haematopoietic_and_lymphoid_tissue,Mycosis fungoides and Sezary syndrome,Cancer cell line,NA,ACH-000612
958,HuT 78,NA,HuT 78,HUT78,NA,NA,NA,NA,NA,NA,HuT_78,HuT_78,NA,NA,HUT78,NA,NA,NA,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,Lymphoid,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,CVCL_0337,HuT78_647_2019,NA,haematopoietic_and_lymphoid_tissue,Mycosis fungoides and Sezary syndrome,Cancer cell line,NA,ACH-000509
959,IGR-37,NA,IGR-37,NA,NA,NA,IGR-37,NA,IGR-37,NA,IGR-37,IGR-37,IGR-37,NA,IGR37,IGR-37,IGR-37,NA,skin,NA,NA,NA,Skin,NA,Skin,skin,NA,NA,NA,skin,Skin,skin,Skin,skin,IGR37,skin,NA,NA,CVCL_2075,IGR37_652_2019,IGR-37,skin,Melanoma,Cancer cell line,TRUE,ACH-000650
960,IGR-39,NA,IGR-39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IGR39,IGR-39,NA,NA,skin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,skin,Skin,skin,Skin,NA,IGR39,skin,NA,NA,CVCL_2076,IGR39_653_2019,NA,skin,Melanoma,Cancer cell line,NA,ACH-000550
961,IM95,NA,IM95,NA,NA,NA,IM-95,NA,IM-95,NA,IM95,IM95,IM-95,NA,IM95,IM-95,IM-95,NA,stomach,NA,NA,NA,Stomach,NA,Stomach,stomach,NA,NA,NA,stomach,Esophagus/Stomach,stomach,NA,stomach,IM95,stomach,NA,NA,CVCL_2961,IM95_657_2019,IM-95,stomach,Gastric adenocarcinoma,Cancer cell line,NA,ACH-000919
962,IMR-32,NA,IMR-32,NA,NA,NA,IMR-32,NA,NA,NA,IMR-32,IMR-32,NA,NA,IMR32,IMR-32,NA,NA,autonomic_ganglia,NA,NA,NA,Brain,NA,NA,autonomic_ganglia,NA,NA,NA,autonomic_ganglia,Peripheral Nervous System,autonomic_ganglia,Brain,NA,IMR32,autonomic_ganglia,NA,NA,CVCL_0346,IMR32_659_2019,NA,autonomic_ganglia,Neuroblastoma,Cancer cell line,NA,ACH-000310
963,IOMM-Lee,NA,IOMM-Lee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CNS/Brain,NA,NA,NA,NA,NA,NA,NA,CVCL_5779,IOMMLee_661_2019,NA,central_nervous_system,Meningioma,Cancer cell line,NA,ACH-000629
964,Ishikawa (Heraklio) 02 ER-,NA,Ishikawa (Heraklio) 02 ER-,NA,NA,NA,NA,ISHIKAWAHERAKLIO02ER,Ishikawa_Heraklio_02ER-,NA,Ishikawa__Heraklio__02_ER-,Ishikawa__Heraklio__02_ER-,Ishikawa_Heraklio_02ER-,NA,ISHIKAWAHERAKLIO02ER,NA,NA,NA,endometrium,NA,NA,NA,NA,ENDOMETRIUM,Heraklio_02ER-_Uterus,endometrium,NA,NA,NA,NA,Uterus,endometrium,NA,endometrium,ISHIKAWAHERAKLIO02ER,NA,NA,NA,CVCL_6543,Ishikawa(Heraklio)02ER_668_2019,NA,endometrium,Endometrial adenocarcinoma,Cancer cell line,NA,ACH-000961
965,IST-Mes2,NA,IST-MES2,NA,NA,NA,NA,NA,NA,NA,IST-MES2,IST-MES2,NA,NA,NA,NA,NA,NA,pleura,NA,NA,NA,NA,NA,NA,pleura,NA,NA,NA,NA,Pleura,NA,NA,NA,NA,NA,NA,NA,CVCL_1312,ISTMES2_671_2019,NA,pleura,Pleural epithelioid mesothelioma,Cancer cell line,NA,ACH-000331
966,JeKo-1,NA,JeKo-1,NA,NA,NA,JEKO-1,NA,JEKO-1,NA,JeKo-1,JeKo-1,JEKO-1,NA,JEKO1,JeKo-1,JEKO-1,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,Lymph Node,NA,Blood,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,Lymphoid,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,CVCL_1865,JeKo1_678_2019,JEKO-1,haematopoietic_and_lymphoid_tissue,Mantle cell lymphoma,Cancer cell line,NA,ACH-000357
967,JH-EsoAd1,NA,JH-EsoAd1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oesophagus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oesophagus,Esophagus/Stomach,NA,NA,NA,NA,NA,NA,NA,CVCL_8098,JHEsoAd1_679_2019,NA,oesophagus,Barrett adenocarcinoma,Cancer cell line,NA,ACH-000216
968,JHH-1,NA,JHH-1,NA,NA,NA,JHH-1,NA,JHH-1,NA,JHH-1,JHH-1,JHH-1,NA,JHH1,JHH-1,JHH-1,NA,liver,NA,NA,NA,Liver,NA,Liver,liver,NA,NA,NA,liver,Liver,liver,NA,liver,JHH1,liver,NA,NA,CVCL_2785,JHH1_680_2019,JHH-1,liver,Hepatocellular carcinoma,Cancer cell line,NA,ACH-000620
969,JHH-2,NA,JHH-2,NA,NA,NA,JHH-2,NA,JHH-2,NA,JHH-2,JHH-2,JHH-2,NA,JHH2,JHH-2,JHH-2,NA,liver,NA,NA,NA,Liver,NA,Liver,liver,NA,NA,NA,liver,Liver,liver,Liver,liver,JHH2,liver,NA,NA,CVCL_2786,JHH2_681_2019,JHH-2,liver,Hepatocellular carcinoma,Cancer cell line,TRUE,ACH-000577
970,JHH-4,NA,JHH-4,NA,NA,NA,JHH-4,NA,JHH-4,NA,JHH-4,JHH-4,JHH-4,NA,JHH4,JHH-4,JHH-4,NA,liver,NA,NA,NA,Liver,NA,Liver,liver,NA,NA,NA,liver,Liver,liver,Liver,liver,JHH4,liver,NA,NA,CVCL_2787,JHH4_682_2019,JHH-4,liver,Hepatocellular carcinoma,Cancer cell line,NA,ACH-000476
971,JHH-5,NA,JHH-5,NA,NA,NA,JHH-5,NA,NA,NA,JHH-5,JHH-5,NA,NA,JHH5,JHH-5,NA,NA,liver,NA,NA,NA,Liver,NA,NA,liver,NA,NA,NA,liver,Liver,liver,Liver,NA,JHH5,liver,NA,NA,CVCL_0364,JHH5_683_2019,NA,liver,Hepatocellular carcinoma,Cancer cell line,NA,ACH-000734
972,JHH-6,NA,JHH-6,NA,NA,NA,NA,JHH6,JHH-6,NA,JHH-6,JHH-6,JHH-6,NA,JHH6,NA,JHH-6,NA,liver,NA,NA,NA,NA,LIVER,Liver,liver,NA,NA,NA,liver,Liver,liver,NA,liver,JHH6,liver,NA,NA,CVCL_2788,JHH6_684_2019,JHH-6,liver,Hepatocellular carcinoma,Cancer cell line,NA,ACH-000217
973,JHH-7,NA,JHH-7,NA,NA,NA,JHH-7,NA,JHH-7,NA,JHH-7,JHH-7,JHH-7,NA,NA,JHH-7,JHH-7,NA,liver,NA,NA,NA,Liver,NA,Liver,liver,NA,NA,NA,liver,Liver,NA,Liver,liver,NA,NA,NA,NA,CVCL_2805,JHH7_685_2019,JHH-7,liver,Hepatocellular carcinoma,Cancer cell line,NA,ACH-000848
974,JHOC-5,NA,JHOC-5,NA,NA,NA,NA,JHOC5,NA,NA,JHOC-5,JHOC-5,NA,NA,JHOC5,NA,NA,NA,ovary,NA,NA,NA,NA,OVARY,NA,ovary,NA,NA,NA,NA,Ovary/Fallopian Tube,ovary,NA,NA,JHOC5,ovary,NA,NA,CVCL_4640,JHOC5_686_2019,NA,ovary,Ovarian clear cell adenocarcinoma,Cancer cell line,NA,ACH-000324
975,JHOM-1,NA,JHOM-1,NA,NA,NA,NA,JHOM1,NA,NA,JHOM-1,JHOM-1,NA,NA,JHOM1,NA,NA,NA,ovary,NA,NA,NA,NA,OVARY,NA,ovary,NA,NA,NA,ovary,Ovary/Fallopian Tube,ovary,NA,NA,JHOM1,ovary,NA,NA,CVCL_4644,JHOM1_687_2019,NA,ovary,Ovarian mucinous adenocarcinoma,Cancer cell line,NA,ACH-000237
976,JHOM-2B,NA,JHOM-2B,NA,NA,NA,NA,NA,NA,NA,JHOM-2B,JHOM-2B,NA,NA,NA,NA,NA,NA,ovary,NA,NA,NA,NA,NA,NA,ovary,NA,NA,NA,NA,Ovary/Fallopian Tube,NA,NA,NA,NA,NA,NA,NA,CVCL_4645,JHOM2B_688_2019,NA,ovary,Ovarian mucinous adenocarcinoma,Cancer cell line,NA,ACH-000333
977,JHOS-2,NA,JHOS-2,NA,NA,NA,NA,NA,JHOS-2,NA,JHOS-2,JHOS-2,JHOS-2,NA,JHOS2,NA,JHOS-2,NA,ovary,NA,NA,NA,NA,NA,Ovary,ovary,NA,NA,NA,NA,Ovary/Fallopian Tube,ovary,NA,ovary,JHOS2,ovary,JHOS2,ovary,CVCL_4647,JHOS2_689_2019,JHOS-2,ovary,High grade ovarian serous adenocarcinoma,Cancer cell line,NA,ACH-000132
978,JHOS-4,NA,JHOS-4,NA,NA,NA,NA,JHOS4,JHOS-4,NA,JHOS-4,JHOS-4,JHOS-4,NA,NA,NA,JHOS-4,NA,ovary,NA,NA,NA,NA,OVARY,Ovary,ovary,NA,NA,NA,NA,Ovary/Fallopian Tube,NA,NA,ovary,NA,NA,NA,NA,CVCL_4649,JHOS4_691_2019,JHOS-4,ovary,High grade ovarian serous adenocarcinoma,Cancer cell line,NA,ACH-000584
979,JHUEM-1,NA,JHUEM-1,NA,NA,NA,NA,NA,NA,NA,JHUEM-1,JHUEM-1,NA,NA,JHUEM1,NA,NA,NA,endometrium,NA,NA,NA,NA,NA,NA,endometrium,NA,NA,NA,NA,Uterus,endometrium,NA,NA,JHUEM1,endometrium,NA,NA,CVCL_4655,JHUEM1_698_2019,NA,endometrium,Endometrial adenocarcinoma,Cancer cell line,NA,ACH-000928
980,JHUEM-2,NA,JHUEM-2,NA,NA,NA,NA,JHUEM2,NA,NA,JHUEM-2,JHUEM-2,NA,NA,JHUEM2,NA,NA,NA,endometrium,NA,NA,NA,NA,ENDOMETRIUM,NA,endometrium,NA,NA,NA,NA,Uterus,endometrium,NA,NA,JHUEM2,endometrium,NA,NA,CVCL_4656,JHUEM2_699_2019,NA,endometrium,Endometrial adenocarcinoma,Cancer cell line,NA,ACH-000909
981,JHUEM-3,NA,JHUEM-3,NA,NA,NA,NA,NA,NA,NA,JHUEM-3,JHUEM-3,NA,NA,JHUEM3,NA,NA,NA,endometrium,NA,NA,NA,NA,NA,NA,endometrium,NA,NA,NA,endometrium,Uterus,endometrium,NA,NA,JHUEM3,endometrium,NA,NA,CVCL_4657,JHUEM3_700_2019,NA,endometrium,Endometrial adenocarcinoma,Cancer cell line,NA,ACH-000173
982,JHUEM-7,NA,JHUEM-7,NA,NA,NA,NA,NA,NA,NA,JHUEM-7,JHUEM-7,NA,NA,JHUEM7,NA,NA,NA,endometrium,NA,NA,NA,NA,NA,NA,endometrium,NA,NA,NA,NA,Uterus,endometrium,NA,NA,NA,NA,NA,NA,CVCL_4658,JHUEM7_701_2019,NA,endometrium,Endometrial adenocarcinoma,Cancer cell line,NA,ACH-000993
983,JIMT-1,NA,JIMT-1,NA,NA,JIMT1,JIMT-1,NA,JIMT-1,NA,JIMT-1,JIMT-1,JIMT-1,jimt1,JIMT1,JIMT-1,JIMT-1,NA,breast,NA,NA,breast,Breast,NA,breast,breast,NA,JIMT-1,breast,breast,Breast,breast,NA,breast,NA,NA,NA,NA,CVCL_2077,JIMT1_702_2019,JIMT-1,breast,Ductal breast carcinoma,Cancer cell line,TRUE,ACH-000711
984,JJN-3,NA,JJN-3,NA,NA,NA,JJN-3,NA,JJN-3,NA,JJN-3,JJN-3,JJN-3,NA,JJN3,JJN-3,JJN-3,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,Blood,NA,Blood,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,Lymphoid,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,CVCL_2078,JJN3_706_2019,JJN-3,haematopoietic_and_lymphoid_tissue,Plasma cell myeloma,Cancer cell line,NA,ACH-000653
985,JK-1,NA,JK-1,NA,NA,NA,NA,NA,NA,NA,JK-1,JK-1,NA,NA,JK1,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,Myeloid,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,CVCL_2079,JK1_707_2019,NA,haematopoietic_and_lymphoid_tissue,"Chronic myelogenous leukemia, BCR-ABL1 positive",Cancer cell line,NA,ACH-000241
986,JL-1,NA,JL-1,NA,NA,NA,JL-1,NA,NA,NA,JL-1,JL-1,NA,NA,JL1,JL-1,NA,NA,pleura,NA,NA,NA,Pleura,NA,NA,pleura,NA,NA,NA,NA,Pleura,pleura,NA,NA,JL1,pleura,NA,NA,CVCL_2080,JL1_708_2019,NA,pleura,Pleural epithelioid mesothelioma,Cancer cell line,NA,ACH-000645
987,JM-1,NA,JM1,JM1,NA,NA,NA,NA,JM1,NA,JM1,JM1,JM1,NA,JM1,NA,JM1,NA,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,Lymphoid,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,CVCL_3532,JM1_709_2019,JM1,haematopoietic_and_lymphoid_tissue,B acute lymphoblastic leukemia,Cancer cell line,NA,ACH-000151
